temperature,average velocity,pressure,wave speed
30042.74280997881,230.2106477374704,14.311378540994262,0
30019.13001016976,226.87002611119297,7.519911225891031,0
30010.608540489055,224.26188661509596,2.67326116086968,0
29929.060538789316,222.22325505991205,0.0,0
29850.889876753194,219.93256244772562,0.6246870225718311,0
29741.612629125008,218.78341156233733,1.9359475648374465,0
29610.378838532295,217.1079667886559,5.55960568729573,0
29527.969035943705,216.4187065780028,1.6683773667765327,0
29457.964886586422,215.84198561456725,5.927731544985497,0
29384.352576099707,215.74782975827532,6.244840387968851,0
35279.4882083447,224.60285037592698,6.309669196570519,0
40705.96802544776,234.21723609670536,5.965337000561472,0
45729.552442251275,242.67411076252716,1.9778488334411002,0
50345.29401334345,250.00996162910607,3.6578929906510167,0
54819.85287058924,258.7221794515936,0.0,0
58851.926739079856,265.7397058787696,2.5837510642909196,0
63163.93605064965,274.020337685809,2.175113592221752,0
68532.0678130782,282.7039155821049,5.933036674281923,0
71745.88821431792,288.8227868355366,0.0,0
76100.06824464294,298.0231199930893,0.0,0
79409.47835035538,304.3241523198896,2.2705314335785043,0
78829.54094687923,306.5861890265292,6.162818149946049,0
78264.28732619791,306.24251779750034,2.8811582373914733,0
77822.85769959919,307.29570564761246,0.0,0
77291.33242733472,308.05867641782356,4.623120358529551,0
76895.87108644456,308.6394966521473,2.0467473142671877,0
76529.74434454938,310.3502253750671,1.72882929897647,0
76161.45877138822,311.12124670114906,1.5961152926882811,0
75821.99384734979,311.96841782726386,1.6416885166628588,0
75550.17082367065,312.3468358387384,0.0,756.0
75289.11372477589,313.44894427237085,4.512324983651327,756.0
75012.51070437573,313.7544892885786,0.0,756.0
74671.4162423798,315.7205362137677,0.0,756.0
74265.27140980103,315.4781298955241,0.0,756.0
74012.27120534203,314.366877935242,2.7849108311359956,756.0
73656.8663362359,315.16873484790545,3.436924844725852,756.0
73188.88180522193,315.25964316708763,1.3590011535891042,756.0
72782.1724598282,315.96074380847057,0.0,756.0
72532.76136012058,316.03127853420307,0.0,756.0
71911.77725389194,315.21237970320936,4.756025792505223,972.0
71387.51727519686,315.2914622585136,0.0,972.0
71013.50568061942,315.5643380774124,2.855905669032481,972.0
70525.56173173306,315.83269675684153,2.4164373775433106,972.0
70151.91362167854,315.34373208781165,1.639774685309412,972.0
69774.34415213176,317.0643592177309,3.7428698702701992,972.0
69381.99243688214,317.12608256801184,0.0,972.0
69022.6564606454,315.98083931547694,1.3762455745831839,972.0
68558.21021239212,315.90867699454697,2.008708366906942,972.0
68227.64421709436,314.08721717398737,1.8175627044053517,972.0
